1;0;3074.00;9.80;1351.00;0.00;0.20
2;0;2933.00;9.57;1484.00;0.00;0.20
3;0;3003.00;9.80;1357.00;0.00;0.16
4;0;3241.00;9.50;1966.00;0.00;0.52
5;0;2881.00;9.50;1636.00;0.00;0.52
6;0;2766.00;10.35;1827.00;0.00;0.24
7;0;1814.00;13.90;1845.00;0.00;0.36
8;0;3261.00;10.87;1536.00;0.00;0.28
9;0;1982.00;9.50;114.00;0.00;5.28
10;0;2208.00;10.32;1505.00;0.00;0.16
11;0;2399.00;14.97;1597.00;0.00;0.24
12;0;2374.00;9.80;1796.00;0.00;0.24
13;0;1362.00;9.50;389.00;0.00;5.36
14;0;2080.00;10.92;1378.00;0.00;0.28
15;0;2020.00;16.77;1784.00;0.00;0.44
16;0;5315.00;9.50;1453.00;0.00;4.36
17;0;2112.00;9.80;1437.00;0.00;0.20
18;0;2992.00;11.52;1344.00;0.00;0.20
19;0;3898.00;9.50;722.00;0.00;4.72
20;0;3132.00;9.50;1203.00;0.00;0.72
21;0;2288.00;9.80;1518.00;0.00;0.24
22;0;2591.00;9.65;1768.00;0.00;0.32
23;0;2438.00;9.80;1802.00;0.00;0.28
24;0;5358.00;9.50;538.00;0.00;4.92
25;0;5497.00;9.50;1260.00;0.00;5.52
26;0;2882.00;10.00;1382.00;0.00;0.36
27;0;2079.00;9.80;1344.00;0.00;0.28
28;0;4831.00;9.50;552.00;0.00;4.16
29;0;4206.00;9.50;539.00;0.00;5.96
30;0;1889.00;10.00;1756.00;0.00;0.36
31;0;2913.00;10.30;1930.00;0.00;0.24
32;0;2253.00;10.17;1615.00;0.00;0.20
33;0;4433.00;9.50;267.00;0.00;5.92
34;0;3176.00;10.40;1559.00;0.00;0.20
35;0;2070.00;9.95;1489.00;0.00;0.16
36;0;1900.00;9.90;1826.00;0.00;0.28
37;0;2590.00;13.70;1965.00;0.00;0.28
38;0;2326.00;10.02;1571.00;0.00;0.24
39;0;2641.00;10.00;1844.00;0.00;0.24
40;0;3091.00;10.30;1317.00;0.00;0.20
41;0;2244.00;9.50;94.00;0.00;4.64
42;0;2524.00;9.50;333.00;0.00;5.60
43;0;2306.00;9.50;973.00;0.00;5.88
