0;0;0;0;land;false;unknown;0
1;230;81;119;land;false;plains;6
2;0;0;55;land;true;plains;6
3;0;0;205;land;false;plains;6
4;0;0;232;sea;true;ocean;0
5;0;2;240;sea;true;ocean;0
6;0;3;20;land;false;hills;6
7;0;3;170;land;false;hills;1
8;0;3;225;land;false;hills;6
9;131;87;19;land;false;plains;6
10;0;6;85;land;false;plains;1
11;0;6;135;land;false;hills;1
12;0;6;190;land;false;plains;1
13;131;57;219;land;false;marsh;6
14;0;9;155;land;false;hills;1
15;0;9;200;land;false;mountain;1
16;130;195;174;land;false;urban;6
17;0;12;15;land;false;plains;1
18;0;12;165;land;false;hills;6
19;131;12;29;land;true;forest;1
20;0;14;248;sea;false;ocean;0
21;0;15;80;land;false;plains;1
22;0;15;130;land;true;urban;1
23;0;15;185;land;false;forest;1
24;130;201;149;land;false;hills;1
25;130;195;219;land;false;plains;1
26;0;18;45;land;true;plains;6
27;0;18;150;land;false;forest;1
28;0;19;240;sea;false;ocean;0
29;0;20;248;sea;false;ocean;0
30;0;21;10;land;false;plains;1
31;0;21;65;land;false;forest;6
32;0;21;215;land;false;plains;1
33;131;27;9;land;false;plains;6
34;176;162;137;land;false;plains;2
35;0;24;30;land;false;plains;1
36;0;24;75;land;false;urban;1
37;0;24;180;land;false;hills;1
38;0;27;40;land;false;plains;1
39;0;27;95;land;false;plains;1
40;0;27;145;land;false;forest;6
41;131;84;204;land;false;hills;1
42;0;28;236;sea;false;ocean;0
43;0;29;244;sea;false;ocean;0
44;0;30;5;land;true;plains;1
45;0;30;60;land;false;plains;6
46;0;30;210;sea;true;ocean;0
47;0;31;232;sea;false;ocean;0
48;131;66;9;land;false;hills;6
49;0;33;25;land;false;mountain;1
50;131;90;189;land;false;plains;6
51;169;204;2;land;false;forest;2
52;0;36;90;land;false;hills;1
53;0;36;195;land;false;mountain;1
54;169;210;87;land;false;forest;2
55;169;201;92;land;false;plains;1
56;131;99;79;land;false;plains;1
57;0;39;55;land;false;mountain;1
58;0;39;205;land;false;forest;1
59;219;74;215;land;false;plains;2
60;0;42;20;land;true;hills;6
61;0;42;170;land;false;hills;1
62;0;42;225;land;false;plains;6
63;0;45;85;land;false;plains;1
64;0;45;135;land;true;plains;1
65;0;45;190;land;false;desert;1
66;0;48;50;land;false;forest;1
67;0;48;155;land;false;mountain;1
68;0;51;15;land;false;jungle;1
69;0;51;70;land;true;urban;1
70;0;51;220;land;false;forest;6
71;0;54;35;land;false;hills;1
72;0;54;185;land;true;plains;6
73;0;57;0;land;false;plains;1
74;0;57;45;land;false;forest;1
