1;arms_factory;2235.00;9.80;1457.00;4.56;0
1;arms_factory;2235.00;9.80;1445.00;0.37;0
1;arms_factory;2250.00;9.80;1452.00;0.18;0
1;arms_factory;2242.00;9.80;1461.00;2.51;0
1;arms_factory;2235.00;9.80;1446.00;4.00;0
1;arms_factory;2252.00;9.80;1460.00;5.52;0
1;industrial_complex;2249.00;9.80;1475.00;5.16;0
1;industrial_complex;2257.00;9.80;1468.00;1.29;0
1;industrial_complex;2235.00;9.80;1448.00;0.10;0
1;industrial_complex;2236.00;9.80;1454.00;4.05;0
1;industrial_complex;2234.00;9.80;1454.00;4.93;0
1;industrial_complex;2246.00;9.80;1468.00;1.87;0
1;air_base;2267.00;9.90;1448.00;3.91;0
1;supply_node;2265.00;9.88;1446.00;2.95;0
1;supply_node;2249.00;9.80;1456.00;5.55;0
1;supply_node;2245.00;9.80;1473.00;1.53;0
1;supply_node;2238.00;9.80;1454.00;3.93;0
1;supply_node;2229.00;9.80;1456.00;5.63;0
1;supply_node;2266.00;9.80;1461.00;1.13;0
1;supply_node;2257.00;9.80;1461.00;4.17;0
1;supply_node;2238.00;9.80;1459.00;2.57;0
1;supply_node;2248.00;9.80;1461.00;2.76;0
1;supply_node;2268.00;9.80;1453.00;2.10;0
1;supply_node;2253.00;9.80;1468.00;1.88;0
1;supply_node;2250.00;9.80;1451.00;4.65;0
1;supply_node;2228.00;9.80;1450.00;1.38;0
1;supply_node;2255.00;9.80;1474.00;4.56;0
1;supply_node;2237.00;9.80;1447.00;1.35;0
1;supply_node;2261.00;9.80;1469.00;4.68;0
1;supply_node;2243.00;9.80;1466.00;1.73;0
1;supply_node;2221.00;9.80;1451.00;5.00;0
1;supply_node;2248.00;9.80;1447.00;0.41;0
1;bunker;2250.00;9.80;1466.00;1.61;0
1;bunker;2236.00;9.80;1454.00;5.42;0
1;bunker;2262.00;9.80;1448.00;0.53;0
1;bunker;2247.00;9.80;1474.00;2.81;0
1;bunker;2242.00;9.80;1451.00;2.86;0
1;bunker;2262.00;9.80;1464.00;5.62;0
1;bunker;2247.00;9.80;1467.00;3.71;0
1;bunker;2247.00;9.80;1455.00;0.97;0
1;bunker;2256.00;9.80;1464.00;5.64;0
1;bunker;2266.00;9.80;1453.00;5.68;0
1;bunker;2239.00;9.80;1459.00;0.89;0
1;bunker;2252.00;9.80;1474.00;5.43;0
1;bunker;2232.00;9.80;1450.00;0.68;0
1;bunker;2247.00;9.80;1449.00;2.92;0
